nachname	Sterbedatum	Geburtsdatum	GND-Nummer	vorname	beruf	ort	original
??lkner					Theaterdirektor		??lkner (Theaterdirektor)
Achard, Marcel	1974-09-04	1899-07-04	118643630	Marcel			Achard, Marcel
Aldis, Mary		1872	173319238	Mary			Aldis, Mary
Alennius				Linnea	Übersetzerin	Schweden	Alennius, Linnea (Übersetzerin, Schweden)
Allan				Grant	Theaterleiter	England	Allan, Grant (Theaterleiter, England)
Gurschner, Alice	1944-03-26	1869-10-08	116299525	Paul			Althoff, Paul
Ames				Winthrop			Ames, Winthrop
Araquistáin, Luis	1959-08-08	1886-06-18	123488729	Luis			Araquistáin, Luis
Bartsch				Augustin	Buchhändler	Wien	Bartsch, Augustin (Buchhändler, Wien)
Bauer, Olla			1243978902	Olla			Bauer, Olla
Baumfeld, Maurice	1913-03-04	1869	116089962	Maurice			Baumfeld, Maurice
Beer				Mathilde			Beer, Mathilde
Behrend, Max	1927-02-03	1863-03-17	116110627	Max			Behrend, Max
Beisser				Andreas	Kopenhagen		Beisser, Andreas (Kopenhagen)
Benson, Arthur Christopher	1925	1862	115562362	Arthur Christopher			Benson, Arthur Christopher
Bermann Fischer, Gottfried	1995-09-17	1897-07-31	118509683	Gottfried			Bermann, Gottfried
Bernstein, Herman	1935	1876	172003520	Hermann			Bernstein, Hermann
Best				Mrs.	Übersetzerin	USA	Best, Mrs. (Übersetzerin, USA)
Bianchini					Mitarbeiter Société des Auteurs	Paris	Bianchini (Mitarbeiter Société des Auteurs, Paris)
Bloch, Felix	1887-08-11	1845-11-16	116202335	Felix			Bloch, Felix
Boer, Marguerite de	1957-10-01	1881-09-16	1034697749	Marguerite de	geb. Perruchon		Boer, Marguerite de (geb. Perruchon)
Bolin				K. J.	Verleger	Stockholm	Bolin, K. J. (Verleger, Stockholm)
Bondy				Hans	Verleger	Berlin	Bondy, Hans (Verleger, Berlin)
Bonnier, Albert	1900	1820	13644251X	Albert			Bonnier, Albert
Browne, Maurice	1955-01-21	1881-02-12	1054786518	Edith A.			Browne, Edith A.
Browne, Maurice	1955-01-21	1881-02-12	1054786518	Maurice			Browne, Maurice
Busse					Prof.	Literaturagent?	Busse (Prof., Literaturagent?)
Břečka				Vojtěch	Übersetzer	Prag	Břečka, Vojtěch (Übersetzer, Prag)
Campbell				John Arthur	1878-1947; Birmingham Repertory Theatre		Campbell, John Arthur (1878-1947; Birmingham Repertory Theatre)
Cantoni				Cesare	Verleger/Literaturagent	Italien	Cantoni, Cesare (Verleger/Literaturagent, Italien)
Cappelli, Licinio	1952	1864	1246393654	Licinio			Cappelli, Licinio
Cecchini				Giordano	Schauspieler	Italien	Cecchini, Giordano (Schauspieler, Italien)
Conroy					Theaterdirektor	Schauspieler	Conroy (Theaterdirektor, Schauspieler)
Corrinth, Curt	1960-08-27	1894-02-20	118845527	Curt			Corrinth, Curt
Cutti				B.	Übersetzer/Literaturagent	Mailand	Cutti, B. (Übersetzer/Literaturagent, Mailand)
Dalberg, Camilla	1968-02	1872-06-28	1327355043	Camilla			Dalberg, Camilla
Dampierre, Jacques de	1947-03-16	1874-10-13	101834586	Jacques de			Dampierre, Jacques de
